q1,q2,q3,q4,q5,q6,q7,fx,fy,fz
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43593,-1.07383,-4.69739
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43601,-1.074,-4.69752
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43803,-1.07265,-4.69924
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43985,-1.07028,-4.70067
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44157,-1.06754,-4.70224
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44182,-1.06994,-4.70212
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43378,-1.07294,-4.70224
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.42665,-1.07374,-4.70002
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.42564,-1.07499,-4.70216
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43295,-1.07444,-4.6984
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43298,-1.07454,-4.69846
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43826,-1.07479,-4.69933
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43403,-1.07437,-4.70228
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.43412,-1.0762,-4.70211
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44011,-1.07353,-4.70058
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44325,-1.07326,-4.69983
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44322,-1.07222,-4.70012
2.71906,-0.0404472,-0.764237,0.0872652,-1.78447,0.0163859,0.0336165,1.44219,-1.07347,-4.70222
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44116,-1.07352,-4.69828
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44108,-1.07231,-4.69845
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.437,-1.07386,-4.70125
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.43034,-1.06913,-4.70338
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.43139,-1.06896,-4.70108
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.4381,-1.07376,-4.69905
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44329,-1.07332,-4.69989
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44014,-1.07362,-4.70064
